City,State,Old_Bucket,City_Bucket,Final_Population,Instances
UTTAR PRADESH,UTTAR PRADESH,Tier 1,State,199812341,442
TAMIL NADU,TAMIL NADU,Tier 1,State,67900000,49
JHARKHAND,JHARKHAND,Tier 1,State,31900000,517
PUNJAB,PUNJAB,Tier 1,State,30000000,160
HARYANA,HARYANA,Tier 1,State,25351462,1407
BHUBANESWAR,ORISSA,Tier 4,Tier 2,19000000,7808
MUMBAI,MAHARASHTRA,Tier 1,Tier 1,12442373,114368
PARGANAS,#N/A,Tier 6,Tier 3,10009781,37
24 PARGANA NORTH,WEST BENGAL,Tier 1,Tier 3,10000000,151
BANGALORE,KARNATAKA,Tier 1,Tier 1,8436675,256216
BANGALORE B,KARNATAKA,Tier 1,Tier 1,8436675,8222
24 PARGANAS S,WEST BENGAL,Tier 6,Tier 3,8160000,#N/A
24 PARAGANA  SOUTH,WEST BENGAL,Tier 1,Tier 3,8160000,718
HIMACHAL,HIMACHAL PRADESH,Tier 6,State,6864602,144
HYDERABAD,ANDHRA PRADESH,Tier 2,Tier 1,6809970,56069
PASCHIM MIDNAPUR,WEST BENGAL,Tier 6,Tier 3,5913457,454
AHMEDABAD,GUJARAT,Tier 2,Tier 1,5570585,70983
HOOGHLY,WEST BENGAL,Tier 6,Tier 2,5520389,1317
NADIA,WEST BENGAL,Tier 2,Tier 2,5168488,1063
PURBA BARDHAMAN,#N/A,Tier 6,Tier 3,4835532,36
CHENNAI,TAMIL NADU,Tier 2,Tier 1,4681087,105842
KOLKATA,WEST BENGAL,Tier 2,Tier 1,4486679,19306
SURAT,GUJARAT,Tier 2,Tier 2,4467797,45218
MALAPURAM,KERALA,Tier 6,Tier 2,4112920,8
MALDAH,WEST BENGAL,Tier 2,Tier 3,3997970,1171
SARAN,BIHAR,Tier 2,Tier 3,3950000,101
CHAMPARAN,BIHAR,Tier 6,Tier 3,3940000,57
WEST  GODAVARI,ANDHRA PRADESH,Tier 2,Tier 3,3936966,129
BADUAN,UTTAR PRADESH,Tier 6,Tier 4,3681896,10
GANJAM,ORISSA,Tier 2,Tier 3,3520151,712
BIRBHUM,WEST BENGAL,Tier 2,Tier 3,3502387,1449
VAISHALI,JHARKHAND,Tier 3,Tier 3,3495021,497
SHAHRANPUR,UTTARANCHAL,Tier 6,Tier 4,3466382,10
ERNAKULAM,KOOTHATTUKULAM,Tier 2,Tier 3,3279860,1815
PURNEA,BIHAR,Tier 6,Tier 3,3260000,517
BANASKANTHA,GUJARAT,Tier 3,Tier 3,3116045,10804
PUNE,MAHARASHTRA,Tier 1,Tier 1,3115431,76769
JAIPUR,RAJASTHAN,Tier 1,Tier 2,3046163,17369
UTTARDINAJPUR,WEST BENGAL,Tier 6,Tier 4,3007134,80
SHAHJAHANPUR S,#N/A,Tier 6,Tier 4,3000000,463
ROHTAS,BIHAR,Tier 3,Tier 3,2960000,361
PASCHIM BARDHAMAN,WEST BENGAL,Tier 6,Tier 4,2882031,243
NALANDA,BIHAR,Tier 3,Tier 3,2880000,134
SANGLI,MAHARASHTRA,Tier 3,Tier 2,2820575,4035
LUCKNOW,UTTAR PRADESH,Tier 2,Tier 2,2815601,18716
KANPUR,UTTAR PRADESH,Tier 3,Tier 2,2767031,9756
BHOJPUR,BIHAR,Tier 3,Tier 3,2730000,486
RAIGAD,MAHARASHTRA,Tier 6,Tier 4,2635394,1223
BARMER,RAJASTHAN,Tier 3,Tier 3,2604453,706
BULDANA,MAHARASHTRA,Tier 3,Tier 3,2586258,3383
BEED,MAHARASHTRA,Tier 6,Tier 4,2585962,1154
SIDDHARTNAGAR,UTTAR PRADESH,Tier 6,Tier 4,2559297,693
MAYURBHANJA,ORISSA,Tier 6,Tier 4,2519000,701
RANGAREDDY,TELANGANA,Tier 2,Tier 2,2446265,25025
SABARKANTHA,GUJARAT,Tier 6,Tier 4,2427346,13504
NAGPUR,MAHARASHTRA,Tier 2,Tier 2,2405665,23853
AMBEDKAR NAGAR,UTTAR PRADESH,Tier 3,Tier 3,2397888,1242
PANCHMAHAL,GUJARAT,Tier 6,Tier 4,2388267,2075
EAST GODAVARI,ANDHRA PRADESH,Tier 2,Tier 3,2357684,312
BALASORE,ORISSA,Tier 6,Tier 4,2317419,1059
KHEDA,GUJARAT,Tier 3,Tier 3,2298934,1694
EAST SINGHBHUM,JHARKHAND,Tier 6,Tier 4,2291032,67
KHURDA,ORISSA,Tier 6,Tier 4,2250000,118
MAU M,#N/A,Tier 6,Tier 4,2205170,306
DHAR,MADHYA PRADESH,Tier 3,Tier 3,2184672,491
BARODA,GUJARAT,Tier 6,Tier 3,2180000,3355
JHUNJHUNU,RAJASTHAN,Tier 6,Tier 4,2139658,1738
DAHOD,GUJARAT,Tier 6,Tier 3,2126558,2696
KUTCH,GUJARAT,Tier 6,Tier 3,2090313,1704
DAKSHINA KANNADA,KARNATAKA,Tier 3,Tier 3,2089649,19
BANKA,BIHAR,Tier 3,Tier 3,2034763,82
INDORE,MADHYA PRADESH,Tier 3,Tier 2,1960631,27384
PALAMU,JHARKHAND,Tier 3,Tier 3,1936319,69
SONITPUR,ASSAM,Tier 3,Tier 3,1920000,332
KRISHNAGIRI,KARNATAKA,Tier 6,Tier 4,1880000,384
KANNIYAKUMARI,TAMIL NADU,Tier 3,Tier 3,1870000,16
KANYAKUMARI,TAMIL NADU,Tier 6,Tier 4,1870000,78
DHARWAD,KARNATAKA,Tier 3,Tier 2,1847023,2061
JOTIBARAO PHULE NAGAR,UTTAR PRADESH,Tier 6,Tier 4,1840221,47
JALORE,RAJASTHAN,Tier 6,Tier 4,1830151,1171
JAJPUR,ORISSA,Tier 6,Tier 2,1826275,110
GOA,GOA,Tier 4,State,1820000,771
KEONJAR,ORISSA,Tier 6,Tier 4,1820000,79
THANE,MAHARASHTRA,Tier 1,Tier 2,1818872,32176
BHOPAL,MADHYA PRADESH,Tier 3,Tier 2,1795648,9543
KANPUR DEHAT,KANPUR DEHAT,Tier 3,Tier 3,1795092,547
CHHATARPUR,MADHYA PRADESH,Tier 4,Tier 3,1762857,662
CHATTARPUR,MADHYA PRADESH,Tier 6,Tier 3,1760000,40
SURENDRANAGAR,GUJARAT,Tier 3,Tier 3,1755873,3968
CACHAR,ASSAM,Tier 4,Tier 4,1740000,285
VISHAKHAPATNAM,ANDHRA PRADESH,Tier 6,Tier 2,1730000,6445
PIMPRI CHINCHWAD,MAHARASHTRA,Tier 6,Tier 3,1729692,37868
CHINCHWAD,MAHARASHTRA,Tier 6,Tier 4,1729320,295
SANT KABIR NAGAR,UTTAR PRADESH,Tier 4,Tier 4,1715183,284
PURI,ORISSA,Tier 4,Tier 4,1697983,95
PATNA,BIHAR,Tier 2,Tier 2,1684222,16422
DAKSHIN DINAJPUR,WEST BENGAL,Tier 3,Tier 3,1670931,14
VADODARA,GUJARAT,Tier 2,Tier 2,1670806,18845
BOLANGIR,ORISSA,Tier 6,Tier 4,1658000,314
GHAZIABAD,UTTAR PRADESH,Tier 2,Tier 2,1648643,33223
UDHAM SINGH NAGAR,UTTARAKHAND,Tier 6,Tier 3,1648367,1671
GAUTAM BUDH NAGAR,UTTAR PRADESH,Tier 6,Tier 3,1648115,1530
DAUSA,RAJASTHAN,Tier 4,Tier 4,1637226,271
KAIMUR,BIHAR,Tier 6,Tier 4,1630000,124
LUDHIANA,PUNJAB,Tier 2,Tier 2,1618879,10346
KAUSHAMBI,UTTAR PRADESH,Tier 4,Tier 4,1599596,346
HAVERI,KARNATAKA,Tier 4,Tier 4,1597668,523
AGRA,UTTAR PRADESH,Tier 2,Tier 2,1585704,5067
KALAHANDI,ORISSA,Tier 4,Tier 4,1573054,212
MAHAMAYA NAGAR,UTTAR PRADESH,Tier 6,Tier 4,1564708,192
CHITTORGARH,RAJASTHAN,Tier 6,Tier 4,1544392,821
KAMRUP,ASSAM,Tier 3,Tier 3,1520000,3196
KANGRA,HIMACHAL PRADESH,Tier 4,Tier 4,1507223,3112
NASHIK,MAHARASHTRA,Tier 2,Tier 2,1486053,16118
NASIK,MAHARASHTRA,Tier 6,Tier 2,1486053,3765
KARAULI,RAJASTHAN,Tier 4,Tier 4,1458459,190
RANCHI,JHARKHAND,Tier 3,Tier 2,1456528,12906
SONEPAT,HARYANA,Tier 6,Tier 4,1450001,1006
UTTAR KANADA,KARNATAKA,Tier 6,Tier 4,1437169,15
UTTARA KANNADA,KARNATAKA,Tier 4,Tier 4,1437169,6
KANSHIRAM NAGAR,#N/A,Tier 6,Tier 4,1436719,17
FARIDABAD,HARYANA,Tier 3,Tier 2,1414050,40900
JHALAWAR,RAJASTHAN,Tier 4,Tier 4,1411327,272
KASARGOD,KERALA,Tier 6,Tier 3,1390894,169
PONDICHERRY P,TAMIL NADU,Tier 6,Tier 2,1390000,582
KOPPAL,KARNATAKA,Tier 4,Tier 4,1389920,359
DUNGARPUR,RAJASTHAN,Tier 4,Tier 4,1388906,300
BARWANI,MADHYA PRADESH,Tier 4,Tier 4,1385659,195
SEONI S,#N/A,Tier 6,Tier 4,1380000,195
KORAPUT,ORISSA,Tier 4,Tier 4,1376934,526
PANCHSHEEL NAGAR,#N/A,Tier 6,Tier 4,1338211,352
GONDIA,MAHARASHTRA,Tier 6,Tier 4,1322331,970
GODDA,JHARKHAND,Tier 4,Tier 4,1311382,745
MEERUT,UTTAR PRADESH,Tier 2,Tier 2,1305429,4930
RAJKOT,GUJARAT,Tier 2,Tier 2,1286678,32840
KALYAN,MAHARASHTRA,Tier 6,Tier 2,1246381,10782
VASAI,MAHARASHTRA,Tier 6,Tier 2,1246381,5284
GIR SOMNATH,GUJARAT,Tier 6,Tier 4,1217477,414
DHOLPUR,RAJASTHAN,Tier 6,Tier 4,1207293,172
VARANASI,UTTAR PRADESH,Tier 2,Tier 2,1201815,3900
BENARAS,UTTAR PRADESH,Tier 6,Tier 2,1200000,1
BHANDARA,MAHARASHTRA,Tier 4,Tier 4,1198810,924
SRINAGAR,JAMMU & KASHMIR,Tier 4,Tier 2,1180570,6241
HINGOLI,MAHARASHTRA,Tier 4,Tier 4,1178973,353
