PRODUCT,Price_Bucket,Age_Bucket,City_Bucket,Policy_id,Cover_Taken,ZD_Cover,Geo_Ext_Cover,Bi_Fuel_Kit_Cover,Vol_Ded_Cover,Engine_Protect_Cover,Tyre_Protect_Cover,Add_Deductable_Cover,RSA,PA,Val_Elec_Accessories,Val_Non_Elec_Accessories,Consumable_Cover,RTI_Cover,Anti_Theft_Cover,LOPB_Cover,Garage_Cash,KP_Cover,Recommended_Count,Telematics_Count,train_inst,Recommended_Covers,Telematics_Covers
4wPKG,Fifth,0to3,State,56,53,0.785714286,0,0.017857143,0,0.321428571,0.089285714,0,0.482142857,0.142857143,0,0.017857143,0.5,0.178571429,0.482142857,0.196428571,0,0.357142857,3,4,56,"['ZD_Cover', 'RSA', 'Consumable_Cover']","['ZD_Cover', 'RSA', 'Consumable_Cover', 'PA']"
4wPKG,Fifth,0to3,Tier 1,18437,15490,0.681076097,0.000542388,0.023051473,0.12675598,0.295763953,0.048380973,0,0.531973748,0.338612573,0.017247925,0.01789879,0.38373922,0.120247329,0.376633943,0.180289635,0.008515485,0.219775452,3,4,18437,"['ZD_Cover', 'RSA', 'Consumable_Cover']","['ZD_Cover', 'RSA', 'Consumable_Cover', 'Anti_Theft_Cover']"
4wPKG,Fifth,0to3,Tier 2,20526,19238,0.856913183,0.007551398,0.004823151,0.055344441,0.307366267,0.043116048,0,0.445045308,0.369141577,0.003848777,0.011059144,0.488940856,0.092516808,0.34580532,0.149809997,0.001315405,0.215628958,3,4,20526,"['ZD_Cover', 'Consumable_Cover', 'RSA']","['ZD_Cover', 'Consumable_Cover', 'RSA', 'PA']"
4wPKG,Fifth,0to3,Tier 3,4893,4577,0.866135295,0.018802371,0.004904966,0.047619048,0.248313918,0.026772941,0,0.389536072,0.490087881,0.003883098,0.006335581,0.409973431,0.090741876,0.232985898,0.097690578,0.001226242,0.155937053,3,4,4893,"['ZD_Cover', 'PA', 'Consumable_Cover']","['ZD_Cover', 'PA', 'Consumable_Cover', 'RSA']"
4wPKG,Fifth,0to3,Tier 4,10051,9306,0.85852154,0.009750274,0.003382748,0.049746294,0.258282758,0.032235598,0,0.391304348,0.374191623,0.003283255,0.010446722,0.457367426,0.081384937,0.28643916,0.117600239,0.001492389,0.180579047,3,4,10051,"['ZD_Cover', 'Consumable_Cover', 'RSA']","['ZD_Cover', 'Consumable_Cover', 'RSA', 'PA']"
4wPKG,Fifth,11to20,State,7,5,0,0,0,0,0,0,0,0.285714286,0.285714286,0,0,0,0,0.142857143,0,0,0,1,2,7,['Anti_Theft_Cover'],"['Anti_Theft_Cover', 'PA']"
4wPKG,Fifth,11to20,Tier 1,2683,1355,0.000372717,0,0.014908684,0.005963474,0.000372717,0,0,0.156168468,0.214685054,0.006708908,0.001863586,0.000372717,0.000372717,0.269847186,0.000372717,0.000745434,0.000372717,1,2,2683,['Anti_Theft_Cover'],"['Anti_Theft_Cover', 'PA']"
4wPKG,Fifth,11to20,Tier 2,1054,632,0.003795066,0,0.015180266,0.000948767,0,0,0,0.165085389,0.315939279,0.0028463,0.000948767,0.001897533,0,0.30170778,0.001897533,0,0.0028463,1,2,1054,['PA'],"['PA', 'Anti_Theft_Cover']"
4wPKG,Fifth,11to20,Tier 3,224,162,0.004464286,0,0.004464286,0,0,0,0,0.0625,0.504464286,0,0,0,0,0.241071429,0,0,0,1,2,224,['PA'],"['PA', 'Anti_Theft_Cover']"
4wPKG,Fifth,11to20,Tier 4,450,278,0.002222222,0.002222222,0.015555556,0.008888889,0,0,0,0.111111111,0.382222222,0.013333333,0.008888889,0.002222222,0,0.255555556,0.004444444,0,0.004444444,1,2,450,['PA'],"['PA', 'Anti_Theft_Cover']"
